start_date,end_date,n_stocks,cluster
2008-12-11,2009-01-12,153,0
2008-12-29,2009-01-26,153,0
2009-01-13,2009-02-09,153,0
2009-01-27,2009-02-23,153,2
2009-02-10,2009-03-09,153,1
2009-02-24,2009-03-23,153,0
2009-03-10,2009-04-06,153,0
2009-03-24,2009-04-22,153,2
2009-04-07,2009-05-07,153,2
2009-04-23,2009-05-21,153,2
2009-05-08,2009-06-05,153,1
2009-05-22,2009-06-19,153,1
2009-06-08,2009-07-03,153,1
2009-06-22,2009-07-17,153,1
2009-07-06,2009-07-31,153,0
2009-07-20,2009-08-14,153,1
2009-08-03,2009-08-28,153,1
2009-08-17,2009-09-14,153,2
2009-09-01,2009-09-28,153,2
2009-09-15,2009-10-12,153,0
2009-09-29,2009-10-26,153,2
2009-10-13,2009-11-09,153,2
2009-10-27,2009-11-23,153,2
2009-11-10,2009-12-07,153,2
2009-11-24,2009-12-21,153,2
2009-12-08,2010-01-07,153,0
2009-12-22,2010-01-21,153,1
2010-01-08,2010-02-04,153,0
2010-01-22,2010-02-18,153,2
2010-02-05,2010-03-04,153,2
2010-02-19,2010-03-18,153,0
2010-03-05,2010-04-01,153,0
2010-03-19,2010-04-19,153,0
2010-04-06,2010-05-04,153,2
2010-04-20,2010-05-18,153,2
2010-05-05,2010-06-02,153,2
2010-05-19,2010-06-16,153,2
2010-06-03,2010-06-30,153,2
2010-06-17,2010-07-14,153,2
2010-07-01,2010-07-28,153,2
2010-07-15,2010-08-11,153,2
2010-07-29,2010-08-25,153,2
2010-08-12,2010-09-09,153,2
2010-08-26,2010-09-23,153,0
2010-09-10,2010-10-07,153,0
2010-09-24,2010-10-21,153,0
2010-10-08,2010-11-04,153,0
2010-10-22,2010-11-18,153,0
2010-11-05,2010-12-02,153,2
2010-11-19,2010-12-16,153,2
2010-12-03,2011-01-04,153,1
2010-12-17,2011-01-18,153,0
2011-01-05,2011-02-01,153,1
2011-01-19,2011-02-15,153,1
2011-02-02,2011-03-01,153,0
2011-02-16,2011-03-15,153,2
2011-03-02,2011-03-29,153,2
2011-03-16,2011-04-12,153,0
2011-03-30,2011-04-28,153,2
2011-04-13,2011-05-13,153,0
2011-04-29,2011-05-27,153,2
2011-05-16,2011-06-13,153,1
2011-05-31,2011-06-27,153,1
2011-06-14,2011-07-11,153,2
2011-06-28,2011-07-25,153,1
2011-07-12,2011-08-08,153,2
2011-07-26,2011-08-22,153,2
2011-08-09,2011-09-06,153,2
2011-08-23,2011-09-20,153,2
2011-09-07,2011-10-04,153,2
2011-09-21,2011-10-18,153,2
2011-10-05,2011-11-01,153,2
2011-10-19,2011-11-15,153,2
2011-11-02,2011-11-29,153,2
2011-11-16,2011-12-13,153,2
2011-11-30,2011-12-29,153,2
2011-12-14,2012-01-13,153,1
2011-12-30,2012-01-27,153,1
2012-01-16,2012-02-10,153,0
2012-01-30,2012-02-24,153,0
2012-02-13,2012-03-09,153,2
2012-02-27,2012-03-23,153,2
2012-03-12,2012-04-10,153,2
2012-03-26,2012-04-24,153,2
2012-04-11,2012-05-09,153,2
2012-04-25,2012-05-23,153,2
2012-05-10,2012-06-11,153,2
2012-05-24,2012-06-25,153,1
2012-06-12,2012-07-09,153,1
2012-06-26,2012-07-23,153,2
2012-07-10,2012-08-06,153,2
2012-07-24,2012-08-20,153,1
2012-08-07,2012-09-04,153,1
2012-08-21,2012-09-18,153,2
2012-09-05,2012-10-02,153,2
2012-09-19,2012-10-16,153,0
2012-10-03,2012-10-30,153,0
2012-10-17,2012-11-13,153,0
2012-10-31,2012-11-27,153,0
2012-11-14,2012-12-11,153,0
2012-11-28,2012-12-27,153,0
2012-12-12,2013-01-11,153,1
2012-12-28,2013-01-25,153,1
2013-01-14,2013-02-08,153,0
2013-01-28,2013-02-22,153,0
2013-02-11,2013-03-08,153,1
2013-02-25,2013-03-22,153,0
2013-03-11,2013-04-09,153,1
2013-03-25,2013-04-23,153,2
2013-04-10,2013-05-08,153,1
2013-04-24,2013-05-22,153,0
2013-05-09,2013-06-06,153,2
2013-05-23,2013-06-20,153,2
2013-06-07,2013-07-04,153,2
2013-06-21,2013-07-18,153,2
2013-07-05,2013-08-01,153,0
2013-07-19,2013-08-15,153,0
2013-08-02,2013-08-30,153,2
2013-08-16,2013-09-13,153,0
2013-09-02,2013-09-27,153,0
2013-09-16,2013-10-11,153,0
2013-09-30,2013-10-25,153,0
2013-10-14,2013-11-08,153,0
2013-10-28,2013-11-22,153,0
2013-11-11,2013-12-06,153,0
2013-11-25,2013-12-20,153,0
2013-12-09,2014-01-08,153,1
2013-12-23,2014-01-22,153,1
2014-01-09,2014-02-05,153,2
2014-01-23,2014-02-19,153,2
2014-02-06,2014-03-05,153,2
2014-02-20,2014-03-19,153,2
2014-03-06,2014-04-02,153,1
2014-03-20,2014-04-16,153,1
2014-04-03,2014-05-02,153,2
2014-04-17,2014-05-19,153,1
2014-05-06,2014-06-03,153,1
2014-05-20,2014-06-17,153,2
2014-06-04,2014-07-01,153,1
2014-06-18,2014-07-15,153,1
2014-07-02,2014-07-29,153,1
2014-07-16,2014-08-12,153,1
2014-07-30,2014-08-27,153,0
2014-08-13,2014-09-10,153,0
2014-08-28,2014-09-24,153,1
2014-09-11,2014-10-08,153,2
2014-09-25,2014-10-22,153,2
2014-10-09,2014-11-05,153,2
2014-10-23,2014-11-19,153,1
2014-11-06,2014-12-03,153,0
2014-11-20,2014-12-17,153,2
2014-12-04,2015-01-05,153,2
2014-12-18,2015-01-19,153,0
2015-01-06,2015-02-02,153,0
2015-01-20,2015-02-16,153,1
2015-02-03,2015-03-02,153,1
2015-02-17,2015-03-16,153,0
2015-03-03,2015-03-30,153,1
2015-03-17,2015-04-15,153,0
2015-03-31,2015-04-29,153,0
2015-04-16,2015-05-14,153,2
2015-04-30,2015-05-29,153,1
2015-05-15,2015-06-12,153,0
2015-06-01,2015-06-26,153,1
2015-06-15,2015-07-10,153,2
2015-06-29,2015-07-24,153,2
2015-07-13,2015-08-07,153,1
2015-07-27,2015-08-21,153,2
2015-08-10,2015-09-07,153,2
2015-08-24,2015-09-21,153,2
2015-09-08,2015-10-05,153,2
2015-09-22,2015-10-19,153,2
2015-10-06,2015-11-02,153,1
2015-10-20,2015-11-16,153,0
2015-11-03,2015-11-30,153,1
2015-11-17,2015-12-14,153,0
2015-12-01,2015-12-30,153,0
2015-12-15,2016-01-14,153,2
2015-12-31,2016-01-28,153,2
2016-01-15,2016-02-11,153,2
2016-01-29,2016-02-25,153,2
2016-02-12,2016-03-10,153,2
2016-02-26,2016-03-24,153,0
2016-03-11,2016-04-11,153,1
