,AER,BAS,BEV,CHE,CON,ELE,EQU,FIN,FOO,GAS,GEN,HED,HOM,HOU,IND,INV,LEI,LIF,MED,NON,OIL,PHA,REA,RET,SOF,SUP,TEL,TRA
AER,1.0,0.14806053933275848,0.2228272590492322,0.4685054740169901,0.40488299934368527,0.5194904387685543,0.44541729257061285,0.5288878123755129,0.3511049616225924,0.2310763925766939,0.3764112981630723,0.0811359894972075,0.40490531567815885,0.3454330816949991,0.47022124846853963,0.540380287938152,0.12236083961752754,0.14076993336753185,0.2831605731897296,0.20194375836427544,0.3550980068903196,0.1621499388957879,0.4467588608500219,0.4320989007554588,0.3138477978083536,0.5290626435623922,0.16433264822646954,0.4454254682327298
BAS,0.14806053933275848,1.0,0.08405111585342293,0.2074844075776274,0.1260821925341122,0.1905687732715351,0.16860279371833276,0.20323037748362374,0.16235557814117496,0.11310767186716018,0.1854688539425699,0.030652461086716352,0.09058408046455736,0.09927264248970956,0.18198879568179624,0.2538006593354694,0.021569691624116705,-0.0025593228695573044,0.1013161762038182,0.07459761144513162,0.21950371163948604,0.10200961387300658,0.14640463888641636,0.147931910949869,0.10310648326372959,0.177010666487894,0.022756462811587542,0.16667679217596687
BEV,0.2228272590492322,0.08405111585342293,1.0,0.20666977884179458,0.25217877901855695,0.2515440822709603,0.27346780675041676,0.3075391128177653,0.25153537453246083,0.1416788987820339,0.15170254843858386,0.12922776259543528,0.20825933701759244,0.21918003057382937,0.2631936133495022,0.33218702002572625,0.07103174536990976,0.13632773659018005,0.16045816146090264,0.09832342279957608,0.14883916943434053,0.11501870842918188,0.2400173274107869,0.250547744175478,0.16786295994719772,0.2799158169962802,0.16252417109264017,0.30760526869105853
CHE,0.4685054740169901,0.2074844075776274,0.20666977884179458,1.0,0.43827863536934347,0.5466234029627098,0.5151140631302342,0.5903227299955891,0.37632050771601117,0.25470397461094824,0.3968841165647149,0.07345509747530597,0.41368630305702,0.36210396302910963,0.5037079738682231,0.621095768043083,0.12174101118773058,0.16825187168478015,0.3422590076841946,0.20091282668997956,0.40000688826558656,0.18083900992461896,0.479347824435911,0.4664513695546141,0.31500271312345807,0.5888141409073103,0.17419384608523616,0.47820619159938726
CON,0.40488299934368527,0.1260821925341122,0.25217877901855695,0.43827863536934347,1.0,0.48742005713772407,0.5505687813443799,0.5998894913023877,0.4143838177112471,0.26857618225655355,0.3923671454621438,0.09473353130163042,0.5355231576716805,0.43564234172205235,0.5265731058657562,0.5764476444237846,0.13659907658259765,0.2330259672421378,0.3748096984550796,0.23874253839303455,0.3413860865338672,0.20708464925905612,0.5657767306824973,0.4925357822906081,0.4014963703139589,0.604042361171961,0.1997706854550602,0.5207004043422913
ELE,0.5194904387685543,0.1905687732715351,0.2515440822709603,0.5466234029627098,0.48742005713772407,1.0,0.5519013188102395,0.6298988957765603,0.40224666829043626,0.2999831576293648,0.454317404301456,0.1029012598692878,0.44813740803153773,0.389817362724494,0.5732715842513624,0.6407417255029348,0.15137462513452815,0.16374331804404424,0.35598097566763964,0.22117238467385955,0.43311690434930616,0.23045133412285937,0.535056977524546,0.5121812103047186,0.37458550863748746,0.614125898838278,0.23650850194776102,0.5085713445187837
EQU,0.44541729257061285,0.16860279371833276,0.27346780675041676,0.5151140631302342,0.5505687813443799,0.5519013188102395,1.0,0.671935821624143,0.49547787346613614,0.2958113308666199,0.45860902126808184,0.10475088507836357,0.4600524179932134,0.40420041898525905,0.5589819778489825,0.7807771725655632,0.13962620435573417,0.22340773699222796,0.39725591830098733,0.2658940133759121,0.39296881743947454,0.2758966841691956,0.553180890375006,0.5108943601083584,0.40140655697971883,0.6064415357153278,0.22192757315850972,0.5215163600579329
FIN,0.5288878123755129,0.20323037748362374,0.3075391128177653,0.5903227299955891,0.5998894913023877,0.6298988957765603,0.671935821624143,1.0,0.4882997552614936,0.3171574022152529,0.5094507973160357,0.15580613419420172,0.5676902362674099,0.49786032780730843,0.614656537570718,0.7885349385275738,0.1774658290047835,0.20081253621710476,0.4485147717006377,0.285854665310922,0.4501271992633736,0.25992473525797594,0.6608955609077402,0.5950051642177271,0.4309296392665195,0.7146617087305732,0.24045641240320534,0.6279328994234301
FOO,0.3511049616225924,0.16235557814117496,0.25153537453246083,0.37632050771601117,0.4143838177112471,0.40224666829043626,0.49547787346613614,0.4882997552614936,1.0,0.2668573902319398,0.3435513586797063,0.1164878068361661,0.37725340885617226,0.3184431093532287,0.4229856743573425,0.5331774490514807,0.15213452355697327,0.14839093592072322,0.3172548997318732,0.19790674295238042,0.2457046109905729,0.18031508444197422,0.45097742583469563,0.4200055353074187,0.3093654767111306,0.4566509377291934,0.1517751122021959,0.41837419032338125
GAS,0.2310763925766939,0.11310767186716018,0.1416788987820339,0.25470397461094824,0.26857618225655355,0.2999831576293648,0.2958113308666199,0.3171574022152529,0.2668573902319398,1.0,0.20567939961175263,0.0569156577892992,0.23674789710312766,0.20318980497360228,0.25123780774288945,0.35545185181540756,0.06693404569578648,0.09055985622331388,0.20597593348446452,0.15144653769079439,0.16237352946201838,0.1378487373137478,0.33222413540110524,0.2858467114704673,0.19281716756119863,0.30978715312634075,0.13024100841843012,0.3190929660261957
GEN,0.3764112981630723,0.1854688539425699,0.15170254843858386,0.3968841165647149,0.3923671454621438,0.454317404301456,0.45860902126808184,0.5094507973160357,0.3435513586797063,0.20567939961175263,1.0,0.07182551197831302,0.32149692679104336,0.30068837479279664,0.43804681457161676,0.5502468164106576,0.1312915926021914,0.12113911639090899,0.3312794498478161,0.15860136663950528,0.3198840050845184,0.19703227365350187,0.4316201462507404,0.4047445645283351,0.2815168943197077,0.4589149075113448,0.13441683507124166,0.3924435154759045
HED,0.0811359894972075,0.030652461086716352,0.12922776259543528,0.07345509747530597,0.09473353130163042,0.1029012598692878,0.10475088507836357,0.15580613419420172,0.1164878068361661,0.0569156577892992,0.07182551197831302,1.0,0.07621279187268051,0.04895582563891059,0.08530199508046643,0.17825877957570507,0.004765037985890131,0.03826128345787994,0.06558519701063592,0.012456869904650648,0.08050309932367151,0.067742090143665,0.13467238999322007,0.12857803356984956,0.05435702752292985,0.12254451707539979,0.08469053245263694,0.13747593086269047
HOM,0.40490531567815885,0.09058408046455736,0.20825933701759244,0.41368630305702,0.5355231576716805,0.44813740803153773,0.4600524179932134,0.5676902362674099,0.37725340885617226,0.23674789710312766,0.32149692679104336,0.07621279187268051,1.0,0.6578614167403245,0.4449704363455248,0.48064139816407886,0.09261587158262151,0.1576865045169765,0.36913747665558727,0.2136260905991668,0.2574026750123675,0.17006460662085832,0.5679482121551903,0.5282845524648966,0.3443859212105157,0.5785293369727749,0.19126109155045715,0.5100150511298228
HOU,0.3454330816949991,0.09927264248970956,0.21918003057382937,0.36210396302910963,0.43564234172205235,0.389817362724494,0.40420041898525905,0.49786032780730843,0.3184431093532287,0.20318980497360228,0.30068837479279664,0.04895582563891059,0.6578614167403245,1.0,0.39264531492917626,0.4278324115572178,0.07818690808069756,0.1537437439217853,0.2845709750280597,0.17741595684365455,0.22826319309687354,0.1365342710137614,0.49363956679145315,0.44436483285147743,0.3157510456297758,0.5102195120921992,0.13565732668960115,0.4246392249056042
IND,0.47022124846853963,0.18198879568179624,0.2631936133495022,0.5037079738682231,0.5265731058657562,0.5732715842513624,0.5589819778489825,0.614656537570718,0.4229856743573425,0.25123780774288945,0.43804681457161676,0.08530199508046643,0.4449704363455248,0.39264531492917626,1.0,0.6414377850154621,0.15826294382548875,0.16646964992168164,0.3411394223577044,0.2119734872791551,0.41054230416329085,0.2208567130036472,0.5454209265806215,0.504812987588253,0.38134619312327334,0.6017080501147944,0.19677737017115027,0.5099808483699185
INV,0.540380287938152,0.2538006593354694,0.33218702002572625,0.621095768043083,0.5764476444237846,0.6407417255029348,0.7807771725655632,0.7885349385275738,0.5331774490514807,0.35545185181540756,0.5502468164106576,0.17825877957570507,0.48064139816407886,0.4278324115572178,0.6414377850154621,1.0,0.15924007350133187,0.20347843702780713,0.4356800434097617,0.2742012788288699,0.4759147025654101,0.2805835942990146,0.6408805241261306,0.58221401303074,0.41458926949303215,0.6832276204632552,0.2361523871829457,0.6159644214691928
LEI,0.12236083961752754,0.021569691624116705,0.07103174536990976,0.12174101118773058,0.13659907658259765,0.15137462513452815,0.13962620435573417,0.1774658290047835,0.15213452355697327,0.06693404569578648,0.1312915926021914,0.004765037985890131,0.09261587158262151,0.07818690808069756,0.15826294382548875,0.15924007350133187,1.0,0.06967990789569103,0.10800392074961054,0.03760379148732371,0.10421417313715631,0.07012953974357831,0.12490370432931647,0.1381326615520677,0.1571595691307254,0.14826509913218944,0.08956023969308416,0.13322673838948002
LIF,0.14076993336753185,-0.0025593228695573044,0.13632773659018005,0.16825187168478015,0.2330259672421378,0.16374331804404424,0.22340773699222796,0.20081253621710476,0.14839093592072322,0.09055985622331388,0.12113911639090899,0.03826128345787994,0.1576865045169765,0.1537437439217853,0.16646964992168164,0.20347843702780713,0.06967990789569103,1.0,0.14447951909376958,0.11234738407806623,0.1126415147061794,0.08204656234702531,0.16463954294839725,0.1525289316192885,0.17252262390710946,0.19279455339610893,0.09366927777652195,0.15534740726722665
MED,0.2831605731897296,0.1013161762038182,0.16045816146090264,0.3422590076841946,0.3748096984550796,0.35598097566763964,0.39725591830098733,0.4485147717006377,0.3172548997318732,0.20597593348446452,0.3312794498478161,0.06558519701063592,0.36913747665558727,0.2845709750280597,0.3411394223577044,0.4356800434097617,0.10800392074961054,0.14447951909376958,1.0,0.16764324902603997,0.20663647450604508,0.15995127861600525,0.40848418566324335,0.38000826816919425,0.29857561004715083,0.4250020315859155,0.1535627501867658,0.3770010924061781
NON,0.20194375836427544,0.07459761144513162,0.09832342279957608,0.20091282668997956,0.23874253839303455,0.22117238467385955,0.2658940133759121,0.285854665310922,0.19790674295238042,0.15144653769079439,0.15860136663950528,0.012456869904650648,0.2136260905991668,0.17741595684365455,0.2119734872791551,0.2742012788288699,0.03760379148732371,0.11234738407806623,0.16764324902603997,1.0,0.14867848793584001,0.10622252816934531,0.20297790970701562,0.23137631362265793,0.14277134294028102,0.2575019326141278,0.11816328222325215,0.23869670733348705
OIL,0.3550980068903196,0.21950371163948604,0.14883916943434053,0.40000688826558656,0.3413860865338672,0.43311690434930616,0.39296881743947454,0.4501271992633736,0.2457046109905729,0.16237352946201838,0.3198840050845184,0.08050309932367151,0.2574026750123675,0.22826319309687354,0.41054230416329085,0.4759147025654101,0.10421417313715631,0.1126415147061794,0.20663647450604508,0.14867848793584001,1.0,0.14276255030789428,0.3436286502451662,0.3085517013517454,0.2147942457079947,0.41975298056965876,0.13002524618727984,0.30220466667411267
PHA,0.1621499388957879,0.10200961387300658,0.11501870842918188,0.18083900992461896,0.20708464925905612,0.23045133412285937,0.2758966841691956,0.25992473525797594,0.18031508444197422,0.1378487373137478,0.19703227365350187,0.067742090143665,0.17006460662085832,0.1365342710137614,0.2208567130036472,0.2805835942990146,0.07012953974357831,0.08204656234702531,0.15995127861600525,0.10622252816934531,0.14276255030789428,1.0,0.21100265251207373,0.2082366164518989,0.15430160424390596,0.24974159720305972,0.13060723337922123,0.21961915568690327
