Ticker,Sector
3IN.L,Financial Services
FOUR.L,Media
ABDN.L,Financial Services
ASL.L,Investment Trusts
AAS.L,Investment Trusts
ALFA.L,Software and Computer Services
ATT.L,Investment Trusts
ALPH.L,Financial Services
AEP.L,Food Producers
AO.L,Retail
ASHM.L,Financial Services
AIE.L,Investment Trusts
AML.L,Automobiles & Parts
ATYM.L,Industrial Metals and Mining
AGT.L,Investment Trusts
AVON.L,Industrial Goods and Services
BME.L,Retailers
BGFD.L,Investment Trusts
USA.L,Investment Trusts
BAKK.L,Food & Tobacco
BBY.L,Construction & Materials
BCG.L,Consumer Digital Services
BNKR.L,Investment Trusts
BAG.L,Beverages
AJB.L,Financial Services
BWY.L,Home Construction
BHMG.L,Hedge Funds
BYG.L,Real Estate Investment Trusts
BPCR.L,Investment Trusts
BRGE.L,Investment Trusts
BRSC.L,Equity Investments
THRG.L,Equity Investments
BRWM.L,Investment Trusts
BSIF.L,Investment Trusts
BOY.L,Industrial Engineering
BREE.L,Construction & Materials
BPT.L,Financial Services
BLND.L,Real Estate
BUT.L,Investment Trusts
BYIT.L,Aerospace & Defence
CCR.L,Food & Tobacco
CLDN.L,Investment Trusts
CGT.L,Investment Trusts
CCL.L,Travel & Leisure
CHG.L,Aerospace & Defence
CSN.L,Life Insurance
CHRY.L,Investment Trusts
CTY.L,Investment Trusts
CKN.L,Industrial Transportation
CBG.L,Financial Services
CMCX.L,Financial Services
COA.L,Consumer Staples
CCC.L,Software & Computer Services
CWK.L,Food Producers
CURY.L,Retailers
DLN.L,Real Estate Investment Trusts
DSCV.L,Support Services
DEC.L,Energy
DOM.L,Travel & Leisure
DWL.L,Automobiles & Parts
DRX.L,Electricity
DOCS.L,Retailers
DNLM.L,Retailers
EDIN.L,Investment Trusts
EWI.L,Investment Trusts
ELM.L,Chemicals
ESP.L,Real estate
ENOG.L,Oil & Gas Producers
EOT.L,Investment Trusts
ESCT.L,Investment Trusts
FCSS.L,Investment Trusts
FEML.L,Investment Trusts
FEV.L,Investment Trusts
FSV.L,Investment Trusts
FGT.L,Equity Investments
FGP.L,Travel & Leisure
FGEN.L,Investment Trusts
FSG.L,Investment Banking and Brokerage Services
FSFL.L,Collective Investments
FRAS.L,Retailers
GFRD.L,Construction
FUTR.L,Media
GAMA.L,Telecommunications
GCP.L,General Financial
GEN.L,Construction & Materials
GNS.L,Pharmaceuticals & Biotechnology
GSCT.L,Investment Trusts
GDWN.L,General Industrials
GFTU.L,Support Services
GRI.L,Real Estate Investment & Services
GPE.L,Real Estate Investment Trusts
UKW.L,"Gas, Water & Multiutilities"
GNC.L,"Food, Beverage and Tobacco"
GRG.L,Food & Drug Retailers
HMSO.L,Real Estate Investment Trusts
HBR.L,Oil & Gas Producers
HVPE.L,Equity Investments
HWG.L,Real Estate
HAS.L,Support Services
HTWS.L,Telecomms
HSL.L,Investment Trusts
HRI.L,Investment Trusts
HGT.L,Investment Trusts
HICL.L,Investment Trusts
HILS.L,Industrial Engineering
HFG.L,Food Producers
HOC.L,Basic Resources
BOWL.L,Travel and leisure
HTG.L,"Oil, Gas and Coal"
IBST.L,Construction & Materials
ICGT.L,Investment Trusts
IGG.L,Financial Services
IEM.L,Investment Trusts
INCH.L,Retailers
IHP.L,Financial Services
IPF.L,Financial Services
INPP.L,Financial Services
IWG.L,Support Services
IAD.L,Investment Trusts
INVP.L,Financial Services
IPO.L,Financial Services
