,Cluster
0,2
1,1
2,1
3,1
4,7
5,1
6,1
7,1
8,3
9,3
10,1
11,1
12,3
13,2
14,8
15,8
16,2
17,2
18,8
19,8
20,2
21,9
22,9
23,2
24,9
25,9
26,8
27,2
28,2
29,2
30,0
31,6
32,5
33,9
34,2
35,7
36,7
37,7
38,7
39,7
40,1
41,2
42,1
43,1
44,3
45,2
46,2
47,2
48,1
49,2
50,4
51,3
52,4
53,4
54,3
55,3
56,3
57,3
58,3
59,3
60,1
61,7
62,1
63,1
64,1
65,7
66,7
67,7
68,7
69,1
70,2
71,1
72,7
73,7
74,1
75,7
76,1
77,6
78,0
79,9
80,3
81,2
82,2
83,1
84,3
85,2
86,1
87,1
88,1
89,9
90,0
91,0
92,4
93,0
94,2
95,9
96,6
97,6
98,1
99,3
100,0
101,2
102,2
103,8
104,2
105,1
106,0
107,0
108,1
109,1
110,3
111,9
112,1
113,7
114,0
115,0
116,3
117,3
118,3
119,0
120,3
121,0
122,0
123,0
124,3
125,3
126,9
127,3
128,2
129,0
130,0
131,2
132,1
133,2
134,2
135,1
136,3
137,6
138,5
139,2
140,6
141,5
142,0
143,6
144,2
145,3
146,2
147,8
148,2
149,5
150,8
151,1
152,1
153,3
154,4
155,3
156,3
157,3
158,3
159,6
160,4
161,3
162,9
163,6
164,8
165,6
166,6
167,7
168,7
169,7
170,1
171,8
172,8
173,2
174,3
175,3
176,3
177,1
178,1
179,3
180,2
181,3
182,3
183,3
184,9
185,0
186,8
187,4
188,1
189,7
190,4
191,4
192,9
193,3
194,1
195,1
196,8
197,0
198,6
199,6
200,6
201,9
202,1
203,0
204,6
205,9
206,2
207,2
208,2
209,2
210,9
211,5
212,2
213,0
214,0
215,3
216,0
217,6
218,2
219,3
220,4
221,4
222,0
223,6
224,6
225,0
226,6
227,4
228,6
229,2
230,1
231,9
232,2
233,1
234,2
235,8
236,9
237,3
238,2
239,8
240,5
241,8
242,2
243,2
244,0
245,6
246,2
247,0
248,0
249,8
